,index,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,42757,RfVmAGcyb48,Ajjubhai Vs Amitbhai Desi Gamers Best Collection Who will Win - Garena Free Fire,2021-03-31T04:15:03Z,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,20,2021-04-01T00:00:00Z,free fire|garena free fire|total gaming|free fire live,4806298,531547,17219,17070,https://i.ytimg.com/vi/RfVmAGcyb48/default.jpg,False,False
1,42758,P1xKV0Dmetg,Vakeel Saab Trailer - Pawan Kalyan | Sriram Venu | Thaman S |  #VakeelSaabOnApril9th,2021-03-29T12:30:02Z,UCR-uD130PlXKww_J2Q63CMg,Dil Raju,24,2021-04-01T00:00:00Z,vakeel saab|vakeel saab motion poster|pawan kalyan|pawan kalyan next movie|vakeel saab first look|vakeel saab teaser|dil raju|thaman s|vakeel saab latest|vakeel saab telugu|pink telugu|vakeel saab trailer|vakeel saab theatrical trailer|pawan kalyan in vakeel saab|vaakel saab theatrical trailer|vakeel saab release trailer|pawan kalyan vakeel saab trailer|Shruti Haasan|Nivetha Thomas|Anjali|Ananya Nagalla,31160245,1211719,31924,134684,https://i.ytimg.com/vi/P1xKV0Dmetg/default.jpg,False,False
2,42759,v6eMKfr8qEY,PANI DI GAL: Maninder Buttar feat. Jasmin Bhasin | Asees Kaur | MixSingh | JUGNI | Punjabi Song 2021,2021-04-01T05:41:12Z,UCopY0NAzASqmD6eVaRj2TFQ,White Hill Music,10,2021-04-01T00:00:00Z,pani di gal|maninder buttar|Jasmin bhasin|asees kaur|maninder buttar new song|jasmin bhasin new song|jasmin maninder|jugni maninder buttar|jugni album|maninder buttar songs|laare|sakhiyan|ik tera|New Punjabi Song 2021|Trending Songs 2021|Punjabi Songs New|Romantic Punjabi songs|Latest romantic tracks|pani di gal status|tera suit jasmin|jugni album all songs|jasmin bhasin songs|jugni album maninder buttar|jugni|aslijugni|new punjabi songs 2021,3957932,235836,8153,46691,https://i.ytimg.com/vi/v6eMKfr8qEY/default.jpg,False,False
3,42760,OGMm7g0tdRA,BB Ki Vines- | Holi Party |,2021-03-29T09:00:13Z,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,10,2021-04-01T00:00:00Z,[None],12641337,1748802,21105,74110,https://i.ytimg.com/vi/OGMm7g0tdRA/default.jpg,False,False
4,42761,uKPUiVuunAg,Goodbye Old Stuff! Hammer Jam is BACK! (Clash Of Clans Official),2021-03-31T08:07:41Z,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,20,2021-04-01T00:00:00Z,clash of clans|COC|Clash of Clans Gameplay|Clash of Clans Strategy|Clash of Clans Animation|Clash of Clans Commercial|Clash of Clans Attacks|Clash of Clans Town Hall|Hog Rider|PEKKA|Clan Wars|season challenges|clan war leagues|clash on|clan game|clan games|hammer jam|clash of clans new update|coming soon|teaser|last town hall 13 challenge|town hall 13|archer queen|yt:cc=on,8740990,189483,7646,8859,https://i.ytimg.com/vi/uKPUiVuunAg/default.jpg,False,False
5,42762,FnmQYg757hw,Missamma || Episode - 5 || Vaishnavi Chaitanya || Arjun Kalyan || Infinitum Media,2021-03-31T12:31:22Z,UCUzywyX-mT9BjKIeQw3YMIA,Vaishnavi Chaitanya,24,2021-04-01T00:00:00Z,Missamma|missamma vaishanavi chaitanya|vaishnavi chaitanya latest|vaishnavi chaitanya short films|vaishnavi chaitanya latest videos|missamma web series|vaishnavi chaitanya latest short films|vaishnavi chaitanya new|vaishnavi chaitanya|vaishnavi chaitanya software devloveper|software devloveper|telugu web series 2021|missamma episode 5|missamma latest episode|missamma latest episode 5|missamma episode 5 vaishnavi chaitanya|vaishnavi short films|infinitum media,1115308,51327,1864,2655,https://i.ytimg.com/vi/FnmQYg757hw/default.jpg,False,False
6,42763,4bdhALA6nuE,Kili | Finale Episode | Vishnu Govindhan | Vishak Nair | Kaarthik Shankar | Funtastic Films,2021-03-31T12:29:16Z,UC3mbMucw7FKRm3cdk6nrePg,Funtastic Films,1,2021-04-01T00:00:00Z,kili final episode|kili web series|kili web series song|kili web series episode 5|kali web series aju varghese|kili web series episode 6|kili web series last episode|kili web series thug life|kili mini web series|kili poyi web series|kili web series status|malayalam web series|kaarthik shankar|malayalam webseries karikku|malayalam web series 2021|malayalam web series love|best web series malayalam|malayalam web series college|malayalam web series comedy new,497092,34440,1204,1969,https://i.ytimg.com/vi/4bdhALA6nuE/default.jpg,False,False
7,42764,3DbA_P_mj9w,Gaani Yaar Di (Video)  Nawab | Gurlez Akhtar | Pranjal Dahiya | The Boss | Latest Punjabi Songs 2021,2021-04-01T03:45:00Z,UCRZ-8RISMPIQSqhPxgNB2Lg,Expert Jatt,10,2021-04-01T00:00:00Z,latest|new|punjabi|songs|2020|gaani|yaar di|gaani yaar di|latest new songs|latest punjabi songs|new punjabi songs|nawab|expert jatt|new song|latest punjabi song 2020|korala new song|mankirat aulakh songs|punjabi song|new song 2020|new punjabi song 2020|latest song punjabi|new songs|songs 2020|mankirat aulakh all songs|korala maan all song|korala maan new song|top 20 songs punjabi|gurlez akhtar new song|gurlez akhtar song|heartbeat nawab|songs songs,1033472,71606,1698,3142,https://i.ytimg.com/vi/3DbA_P_mj9w/default.jpg,False,False
8,42765,gIoSGo0s3dg,Welcome back to Steffi Ulagam,2021-04-01T05:31:04Z,UCSUafMuEUUe3Ap4_0HD8l0w,Steffi Ulagam,26,2021-04-01T00:00:00Z,vlogs in tamil|steffi ulagam|steffi vlogs|steffi vlogs in tamil|madras samayal vlog|steffi ulagam in tamil,214329,13408,252,3030,https://i.ytimg.com/vi/gIoSGo0s3dg/default.jpg,False,False
9,42766,G89k6Zy1rT4,I GOT SEASON 35 ELITE PASS UNLOCKING ALL LEGENDARY ITEMS RIP MY 50000 DIAMONDS NEW M1014 FREE FIRE,2021-03-31T21:02:29Z,UCwWQJbX2j6PHA2PQ8uiXVqA,MDs Games Station,20,2021-04-01T00:00:00Z,free fire mist rare bundle|free fire collection versus|free fire free diamonds|free fire free elite pass|garena free fire|free fire get free elite pass|mds,465146,24128,1136,1066,https://i.ytimg.com/vi/G89k6Zy1rT4/default.jpg,False,False
10,42767,v4rfXPCbnbc,HOLI - BAAZ || Rachit Rojha,2021-03-28T04:33:04Z,UCwBlZvRTu3vasTWUE9U5wPw,Rachit Rojha,24,2021-04-01T00:00:00Z,rachit rojha|rachit rojha new video|rachit rojha latest video|rachit rojha new video 2021|rachit rojha holi video|school holi|funny|comedy|haryana|haryanvi|holi romance|father|mother|shopkepper|revenge|girlfriends|gilrs|boys|holi video|holi funny video|every holi ever|indian holi|water|color|holi in india|holi videos|herbal color|family holi|water dance|dance|party|holi party|funny video|comedy video|cloths|uncle|holibaaz|rachit holibaaz|holi baaz video,15548911,306676,40855,15983,https://i.ytimg.com/vi/v4rfXPCbnbc/default.jpg,False,False
11,42768,65P3H1idDQE,"#Acharya​ - LaaheLaahe Lyrical | Megastar Chiranjeevi, Ram Charan​, Kajal, PoojaHegde | KoratalaSiva",2021-03-31T10:35:02Z,UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,10,2021-04-01T00:00:00Z,laahe laahe lyrical song|laahe laahe|laahe laahe song|laahe laahe lyrical|acharya laahe laahe song|laahe laahe full song|acharya laahe laahe lyrical song|laahe laahe acharya song|Lahe Lahe Chiranjeevi|acharya songs|acharya movie songs|acharya chiru song|acharya chiranjeevi|chiranjeevi latest songs|chiranjeevi acharya songs|acharya movie|chiru acharya new song|Ram Charan|Kajal Aggarwal|Mani Sharma Acharya|Koratala Siva|Pooja Hedge|Aditya music,6685537,352316,12905,15723,https://i.ytimg.com/vi/65P3H1idDQE/default.jpg,False,False
12,42769,Tw3ZXHVd_nM,Laahe Laahe Song Promo - #Acharya - Megastar Chiranjeevi | Koratala Siva | Mani Sharma,2021-03-30T13:32:00Z,UC6Y_AOhogfZk8fJ4cltAQIw,Matinee Entertainment,24,2021-04-01T00:00:00Z,Laahe Laahe Song Promo|acharya songs|acharya|acharya first song|Megastar Chiranjeevi|Koratala Siva|Mani Sharma|chiranjeevi acharya songs|chiranjeevi movies|chiranjeevi latest songs|laahe laahe song|#Acharya|Kajal Aggarwal|acharya song promo,2401629,77512,4140,2454,https://i.ytimg.com/vi/Tw3ZXHVd_nM/default.jpg,False,False
13,42770,1MNdyq5w2Hg,இப்படியெல்லாமா loveஅ சொல்லுவாங்க!!!| Unbelievable Marriage Proposals | RishiPedia | RishGang | Rishi,2021-04-01T05:32:36Z,UCaFBtetU2RHxwnDRDsNHejA,RishiPedia,24,2021-04-01T00:00:00Z,RishiPedia|Rishi|Rishgang|இப்படியெல்லாமா loveஅ சொல்லுவாங்க!!!||Unbelievable Marriage Proposals|April Fool|Love|Love Proposals|Fun|Comedy|Tamil comedy|RishiPedia latest,244814,54176,448,4223,https://i.ytimg.com/vi/1MNdyq5w2Hg/default.jpg,False,False
14,42771,-UYoF9n5B8o,"#RangDe - Youthful Family Blockbuster | Promo 3 | Nithiin, Keerthy Suresh | Venky Atluri | DSP",2021-03-31T09:32:51Z,UCme6XJ0pNj-zyVyYkAJikxw,Haarika & Hassine Creations,24,2021-04-01T00:00:00Z,[None],1982957,36587,868,349,https://i.ytimg.com/vi/-UYoF9n5B8o/default.jpg,False,False
15,42772,4iV2fZ4X90g,Mutton Dawat With King Nagarjuna Sir || Mehaboob Dilse || wild dog || Infinitum Media,2021-03-31T13:47:43Z,UC2aqUqrT0WO44kVXcPoPOZA,Mehaboob Dil Se,24,2021-04-01T00:00:00Z,Mehaboob Dil se|Mehaboob Dance Covers|Mehaboob|Mutton Dawat with Wild Dog Team|Mutton Dawat With King Nagarjuna Sir|mehaboob dil se interview|mehaboob with nagarjuna|mehaboob with wild dog movie team|wild dog movie|wild dog movie promotions|nagarjuna latest movies|nagarjuna latest interview|mehaboob dil se latest|wild dog movie updates|mehaboob dil se|mehaboob interview|nagarjuna wild dog|wild dog trailer|infinitum media|mehaboob dil se dance,581979,34340,799,1037,https://i.ytimg.com/vi/4iV2fZ4X90g/default.jpg,False,False
16,42773,NESckExdSoc,Holi scenes 🤣🙈 #shorts #happyholi bura na maano “HOLI HAI”,2021-03-28T17:48:26Z,UCmc3q5L-0YyLuEO10ObYidA,Anmol Bhatia,22,2021-04-01T00:00:00Z,[None],637128,0,0,471,https://i.ytimg.com/vi/NESckExdSoc/default.jpg,False,True
17,42774,cYXbjsIsNNo,07:03 Anbu Moments of Thala and Chinna Thala at practice! #WhistlePodu #Yellove,2021-04-01T01:36:55Z,UC2J_VKrAzOEJuQvFFtj3KUw,Chennai Super Kings,17,2021-04-01T00:00:00Z,[None],924816,64993,502,1999,https://i.ytimg.com/vi/cYXbjsIsNNo/default.jpg,False,False
18,42775,CeAWdrCCVRQ,Yuvarathnaa Public Review | Puneeth Rajkumar | Santhosh Ananddram | Yuvarathnaa Movie Review,2021-04-01T03:55:45Z,UC22cpNxti7TfrYzcPVsiJOA,Shruti TV,24,2021-04-01T00:00:00Z,Yuvarathnaa Public Review|puneeth rajkumar|power star puneeth rajkumar|puneeth rajkumar yuvarathnaa|yuvarathnaa puneeth rajkumar|yuvarathnaa|puneeth rajkumar yuvaratna|puneeth rajkumar songs|yuvarathnaa movie|yuvarathna|puneeth rajkumar yuvarathnaa teaser|puneeth rajkumar dance|#yuvarathnaa|yuvarathnaa trailer|punneth rajkumar yuvarathnaa|puneeth rajkumar yuvarathnaa trailer|yuvarathnaa song|puneeth rajkumar fans|puneeth rajkumar interview,217198,15415,197,551,https://i.ytimg.com/vi/CeAWdrCCVRQ/default.jpg,False,False
19,42776,AIX80_jk_RI,Friends & Weddings || Mahathalli || Tamada Media,2021-03-31T13:10:24Z,UCFnLGH9BGpJLJMMlRMr-f5Q,Mahathalli,24,2021-04-01T00:00:00Z,LED facial device India|FOREO UFO India|FOREO UFO Review|Facial device recommendation for Indians|Get bridal glow at home|Best bridal facial at home|Brides must have|telugu comedy videos|telugu funny videos|telugu comedy webseries|comedy videos telugu|telugu comedy shortfilms|comedy shortfilms|telugu comedy 2019|mahathalli|mahathalli amma|Mahathalli Latest Videos|Mahatalli|Mahathalli|mahathalli comedy videos|Mahathalli latest video|Friends & Weddings,471482,20305,1360,1417,https://i.ytimg.com/vi/AIX80_jk_RI/default.jpg,False,False
20,42777,muI7JIz1xtc,Public Toilets Prank  | Prankster Rahul | Tamil video | PSR India 2021,2021-03-31T11:36:56Z,UCiJKrqlkEha2kj3D9vSUCIg,Prankster Rahul,24,2021-04-01T00:00:00Z,mumbai Prank|Hotel Cleaner|Autokaran Prank|Prankster Rahul|auto prank|prankster rahul|pranks|prankster rahul gym|prankster rahul hotel|rahul prankster|rahul prank videos|prankster|Parking|Finance Prank ||Delivery PRank|Wash room prank,369519,39761,614,2424,https://i.ytimg.com/vi/muI7JIz1xtc/default.jpg,False,False
21,42778,LfzbWz_Gi5Y,SURPRISING HIM WITH A NEW BIKE! - VLOG 68,2021-03-31T15:00:32Z,UC0rE2qq81of4fojo-KhO5rg,Tanmay Bhat,23,2021-04-01T00:00:00Z,AIB|Stand Up Comedian|Jokes|Funny|Vlog|Indian Vlogger|Vlogger|Comedy|Comedian|Trending|All India Bakchod|Funny Video|Funny Sketch|Funny Jokes|Tanmay Bhat|Live|Live Stream|Tanmay Bhat Live,961969,169530,799,6762,https://i.ytimg.com/vi/LfzbWz_Gi5Y/default.jpg,False,False
