,index,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,48170,VdTviH5Svzc,"Doob Gaye (Official Video) Guru Randhawa | Urvashi Rautela | Jaani, B Praak | Remo D | Bhushan K",2021-04-30T05:30:10Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,2021-05-01T00:00:00Z,hindi songs|2021 hindi songs|new hindi songs|2021 new songs|t-series|tseries|tseries songs|new song|hit songs 2021|2021 film songs|bollywood songs|2021 songs|hindi 2021 songs|film songs|hindi movie songs|doob gaye|guru randhawa new song|urvashi rautela|b praak|jaani|doob gaye guru randhawa|doob gaye new song|new hindi songs romantic 2021|guru randhawa new song 2021|guru randhawa songs|jaani new song|b praak new song,28636496,818344,33371,47328,https://i.ytimg.com/vi/VdTviH5Svzc/default.jpg,False,False
1,48171,e1Bj4tMGh64,"Dil De Diya - Radhe |Salman Khan, Jacqueline Fernandez |Himesh Reshammiya|Kamaal K,Payal D|Shabbir A",2021-04-30T06:30:13Z,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,10,2021-05-01T00:00:00Z,Dil De Diya|Dil Diya|salman khan|himesh reshammiya|hindi songs|salman khan songs|salman khan new song|hindi bollywood song|Jacqueline Fernandez|jacqueline fernandez songs|Dance song|bollywood dance songs|bollywood song|disha patani|Radhe Movie Songs|Salman Khan Radhe Song|hindi bollywood song video|himesh reshammiya songs|himesh reshammiya new song|himesh reshammiya hit songs|Payal Dev Songs|Jacqueline and salman song|Dil De Diya Jacqueline Song,20223915,372136,42725,48131,https://i.ytimg.com/vi/e1Bj4tMGh64/default.jpg,False,False
2,48172,xNIJCq1Cr5c,Kaka | Dhoor Pendi | New Punjabi Songs 2021| Full Video | Ft : Karan | New Latest Punjabi Songs 2021,2021-04-29T04:30:12Z,UCOo61v1PPAjoN2exxYAzdAw,Single Track Studio,10,2021-05-01T00:00:00Z,New Punjabi Song|Latest Punjabi Song|New Punjabi Song 2021|Latest Punjabi Song 2021|New Punjabi Music|Latest Punjabi Music|Latest Punjabi Songs 2020|Punjabi Songs 2021|New Punjabi Songs 2020|New Punjabi Song 2021 This Week Punjabi Song 2020 Top 10|song|new song 2020-21|song 2020-21|new song|Single track studio|Studio|kaka new songs|new punjabi song 2021|kaka new song 2021|New Punjabi Songs 2021,10454552,434521,14424,13224,https://i.ytimg.com/vi/xNIJCq1Cr5c/default.jpg,False,False
3,48173,zjxE42V3byA,Radhamma Kuthuru Promo - 01 May 2021 - Monday to Saturday at 7 PM - Zee Telugu,2021-05-01T06:00:12Z,UC3PYGKK29qJ0zu-eEthHK4g,Zee Telugu,24,2021-05-01T00:00:00Z,Radhamma Kuthuru Renu Desai|Radhamma Kuthuru Promo|Radhamma Kuthuru Renu Desai promo|Radhamma Kuthuru full episode|Radhamma Kuthuru Aravind Akshara romance|Radhamma Kuthuru Zee Telugu|Deepthi Manne|Gokul|Meghana Raami|Aravind Akashara Romance|Radhamma Kuthuru Aravind Akshara Romance|Drama|Love|Romance|Radhamma Kuthuru Youtube|Radhamma Kuthuru Zee5|Radhamma Kuthuru song|Zee5 Club|Zee5|Zee5 Promos|Zee 5 Shows|Zee Telugu Serials|Zee Telugu,1067836,13020,919,242,https://i.ytimg.com/vi/zjxE42V3byA/default.jpg,False,False
4,48174,miCFtiAnp0I,Family Sothanaigal | Micset,2021-04-29T11:30:17Z,UC5EQWvy59VeHPJz8mDALPxg,Mic Set,23,2021-05-01T00:00:00Z,Family Sothanaigal|sothanaigal|micset sothanaigal|micset sothanaigal in tamil|family comedy|sothanaigal micset|mic set sothanaigal|sothanaigal video|mic set videos|mic set comedy|sriram prince|mic set sriram|tamil comedy|sothanaigal comedy|micset latest episode|micset in tamil|family sothanaigal|micset family|sriram family|family joke|mike set|micset sriram|micset new episodes|micset|mic set|sriram micset|micset videos|mic set channel tamil,1919088,245178,2546,8508,https://i.ytimg.com/vi/miCFtiAnp0I/default.jpg,False,False
5,48175,G9Ogze5g5sU,PUBG MOBILE INDIA LAUNCH 🇮🇳| NEW PUBG IS HERE🔥🔥🔥,2021-04-30T10:33:07Z,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,28,2021-05-01T00:00:00Z,PUBG Mobile India|PUBG Mobile India Launch|PUBG Mobile India Maps|PUBG Mobile India Map|PUBG Mobile India App|PUBG Mobile India Outfit|PUBG Mobile Krafton|PUBG Mobile Data|PUBG Mobile India Plans|PUBG Ban|PUBG India|PUBG Unban|PUBG Mobile|PUBG Mobile New Update|PUBG In India|PUBG|PUBG Features|PUBG Tencent|PUBG Comeback|How To Play PUBG|PUBG Ban India|PUBG Krafton|pubg mobile india launch|Technical Guruji|Technicalguruji|Gaurav Chaudhary|Latest,1598209,188645,16097,13275,https://i.ytimg.com/vi/G9Ogze5g5sU/default.jpg,False,False
6,48176,ST_uzamSTjk,Ram Leela Web Series || Episode - 2 || Siri Hanmanth || Shrihan || Infinitum Media,2021-04-30T12:56:00Z,UCVG75ENoKyR5IlXUUR-I0_w,Hey Siri,24,2021-05-01T00:00:00Z,siri hanumanth|siri hanmanth|siri hanmanth short film|actress siri hanmanth|shrihan|infinitum new|ramleela webseries|ram leela siri|ram leela telugu web series|ram leela web series|siri hanmanth web series|shrihan web series|siri shrihan web series|siri shrihan ram leela|siri hanmanth ram leela|shrihan ram leela|telugu web series|ram leela ep 2|ram leela episode 2 web series|hey siri latest episode|ram leela episode 2|infinitum viplavam|infinitum media,757226,42200,810,3213,https://i.ytimg.com/vi/ST_uzamSTjk/default.jpg,False,False
7,48177,frMyk2glHUQ,Eating MINI FOODS for 24 HOURS *SATISFYING*,2021-04-29T08:49:43Z,UCtyltqstMm6iKnkk2Y9Zt8A,Wanderers Hub,22,2021-05-01T00:00:00Z,EATING ONLY MINI FOOD|EATING ONLY TINY FOOD|mini food cooking|diy miniature food|diy mini food real|miniature cooking pizza|mini food that you can eat|troom troom miniature food vs giant food|mini food that is real|mini food that you can actually eat|how to make mini food that you can eat|tiny food cooking|tiny food that you can eat|hindi food videos|5 minute crafts food hacks|wanderershub|triggered insaan|5 minutes crafts|5 minute crafts food,2649177,222256,5802,16070,https://i.ytimg.com/vi/frMyk2glHUQ/default.jpg,False,False
8,48178,UVm8zrt3Sko,Summer Work | Ultimate village comedy | Creative Thinks,2021-04-30T06:30:04Z,UC6RpJsr061UxFL8bvI9YW4A,Creative Thinks,24,2021-05-01T00:00:00Z,Telugu|village|village comedy|village culture|village show|the village|comedy|creative thinks|funny|#village|short films|village girl|village people|funny videos|my village|village nature|telugu short films|village fun|telugu funny videos|telugu comedy videos|creative thinks new|creative thinks latest|telugu comedy|chinni|Childhood|karuvu pani|Summer work|job|govt jobs|Summer comedy,1189560,40551,2538,3314,https://i.ytimg.com/vi/UVm8zrt3Sko/default.jpg,False,False
9,48179,BCjlKDYCfag,Kanimangalam kovilakam | SEASON 2 | Episode 3,2021-04-29T14:25:18Z,UCvioWRAJwfqJvc8BBE3KhbA,CLAPBOARD FILMS,24,2021-05-01T00:00:00Z,#kanimangalam kovilakam|#malayalam web series|#comedy webseries|#clapboard films|#raffidq|#malayalam|#malayalam comedy|#trending|#trending comedy|#trending malayalam comedy|#comedywebseries|#malayalamcomedy|#trendingcomedy|#mohanlal|Chakkappazham Episode|Chakka pazham serial|Rafi dq comedy videos|#kanimangalam|raffi tik tok|chakkapazham sumesh|kovilakam|kanimangalam|kanimangalamseason2|kovilakamseason2|raffiseason2|chakkapazham|karikku|kanimangalam new episode,1152499,114114,1235,8950,https://i.ytimg.com/vi/BCjlKDYCfag/default.jpg,False,False
