,index,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,84790,HUjUF5TDiMI,USA 🇺🇸 vs Japan 🇯🇵 vs China 🇨🇳 vs India 🇮🇳 ~ Greeting style 👋 ~ Dushyant Kukreja #shorts,2021-10-31T10:30:13Z,UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,24,2021-11-01T00:00:00Z,Usa|japan|india|china|usa vs japan vs china vs india|Greeting styles|greeting style|styles|greet|greeting styles|dushyant kukreja|dushyant kukreja shorts|shorts|bone cracks|bone cracking,7383692,507705,13688,2489,https://i.ytimg.com/vi/HUjUF5TDiMI/default.jpg,False,False
1,84791,Xsgz7Q0iWzA,"RRR Glimpse - NTR, Ram Charan, Ajay Devgn, Alia Bhatt | SS Rajamouli | 7 Jan 2022",2021-11-01T05:30:06Z,UCumU_6FNxfHXTmeeFCYz6Yw,DVV Entertainment,24,2021-11-01T00:00:00Z,RRR|RRR NTR Teaser|RRR Movie|RRR Ajay Devgn|RRR NTR|RRR Ram Charan|Ram Charan|Jr NTR|Alia Bhatt|RRR Alia Bhatt|SS Rajamouli|SS Rajamouli New Film|Rajamouli Next Movie|NTR Teaser|NTR in RRR|dvv movies|telugu movies|latest Telugu teaser|rrr glimpse|rrr teaser|rajamouli rrr teaser|glimpse of rrr,4793992,474252,5308,32284,https://i.ytimg.com/vi/Xsgz7Q0iWzA/default.jpg,False,False
2,84792,3rqvBZK8zQo,Thailo par kyo mol bhav? |Ajay Sharma #shorts #motivation,2021-10-30T12:46:55Z,UCthYQycNvy1TfeTzzR4S2dA,Ajay Sharma,24,2021-11-01T00:00:00Z,[None],6705793,380017,19327,1138,https://i.ytimg.com/vi/3rqvBZK8zQo/default.jpg,False,False
3,84793,elRF_qiwRoU,"JHOOTA LAGDA ft. Sourav Joshi Vlogs, Anagha Bhosale | Nikhita Gandhi | Sanjeev | New Hindi Song 2021",2021-11-01T03:00:08Z,UCLsMef624nZ4ME6WoSElPTg,Voilà! Digi,10,2021-11-01T00:00:00Z,jhoota lagda|sourav joshi vlogs|sourav joshi|sourav joshi song|sourav joshi blog|sourav joshi new song|sourav joshi new vlog|anagha bhosale|nikhita gandhi|nikhita gandhi songs|jhoota lagda song|new hindi song 2021|sourav joshi arts|sourav joshi music video|sourav joshi jhoota lagda|piyush joshi|new hindi song|hindi song|new song|piyush joshi vlogs|sourav joshi vlog|sourav joshi songs|mauja|jhootha lagda|jhootha lagda sourav joshi|sahil joshi,3612543,705841,10424,36632,https://i.ytimg.com/vi/elRF_qiwRoU/default.jpg,False,False
4,84794,sxvHaiE8VwI,Cute prank on wife 🙈😉🤯,2021-10-31T12:09:45Z,UCm0BloxESCVb4OwFOII16Ww,Meeth _Miri,23,2021-11-01T00:00:00Z,Meeth_miri Meethmiri,2955478,154084,7881,687,https://i.ytimg.com/vi/sxvHaiE8VwI/default.jpg,False,False
5,84795,j4N4e_3kv2E,Kill Chori ft. Shraddha Kapoor and Bhuvan Bam | Song by Sachin Jigar | Come Home To Free Fire,2021-10-30T08:30:13Z,UC4AB0_ectRryjCF_ugD0U8w,Free Fire India Official,20,2021-11-01T00:00:00Z,Bhuvan Bam|BB ki Vines|BB|Garena Free Fire|Free Fire|Free Fire MAX|Shraddha Kapoor|Bhuvan Bam Latest|Dhindora|Shraddha Kapoor Dance|Bhuvan Bam Song|Free Fire Funny|Bhuvan Bam Show|Bhuvan Bam Web Series|Shraddha Kapoor film|Bhuvan,34533325,2842478,34740,192966,https://i.ytimg.com/vi/j4N4e_3kv2E/default.jpg,False,False
6,84796,-DCfwX4U6kY,The PRO Player 😂😂😂 #shorts #vendyfam,2021-10-30T02:30:00Z,UCNLLgtPIKew9vHNVAQmdVGQ,VENDY YADUWANSHI,24,2021-11-01T00:00:00Z,[None],9803837,670121,21483,489,https://i.ytimg.com/vi/-DCfwX4U6kY/default.jpg,False,False
7,84797,jrm-V4VU3K8,Shivarajkumar Heart Broken Last Hug To Brother Puneeth Rajkumar Very Emotional Video,2021-10-31T05:54:47Z,UCfEbi4IBWGL1tvm1xG2Nw8Q,SGV Kannada Media,24,2021-11-01T00:00:00Z,puneeth rajkumar|puneeth rajkumar is no more|actor puneeth rajkumar|shiva rajkumar|appu dies of heart attack|puneeth rajkumar family|kanteerava stadium|power star puneeth rajkumar|puneeth rajkumar last journey|sgv kannada media|dr rajkumar|kannada news|puneeth rajkumar live|Puneeth|Shivarajkumar Heart Broken Last Hug To Brother Puneeth Rajkumar Very Emotional Video,4877431,56531,1472,930,https://i.ytimg.com/vi/jrm-V4VU3K8/default.jpg,False,False
8,84798,ovJyNsQxx9E,INDIA vs NEW ZEALAND | AFGHANISTAN vs NAMIBIA | ICC Men’s T20 World Cup | Hindi Commentary,2021-10-31T17:46:11Z,UCmhmKcSIi9DmpGV4qSt0Rlw,Digital 2 Sports,17,2021-11-01T00:00:00Z,ICC World Test Championship Finals|India vs New Zealand|sports channel|test match|live|live cricket|virat kohli|india vs new zealand wtc|Sportstar|test series|Kane Williamson|batsman|bowler|Ind vs NZ:|india|india vs New zealand test records|Southampton|Live Match|India's premier|MS Dhoni|battle lines|series|Digital 2 Sports|experts|ball by ball commentary|Team India’s Road Towards Finals|rohit sharma,5063516,44587,4179,313,https://i.ytimg.com/vi/ovJyNsQxx9E/default.jpg,False,False
9,84799,08yg-ZUfG2w,सबसे बड़ा अनार | World's Biggest Firework Fountain | Diwali Dhamaka 3 | Hindi Comedy | Pakau TV,2021-10-31T06:30:01Z,UCNzvEv3XpFYnWEbD5Ero7mw,Pakau TV channel,24,2021-11-01T00:00:00Z,chit chat|talking|Youtube|video|india|hindi|friends|indian|delhi|story|comedy videos|new|comedy|happy|Funny|short film|Fun|mad|show|crazy|Laugh|hilarious|parody|comedy show|new episodes|humor|entertainment|laughter|comedian|joking|kidding|हिंदी|कॉमेडी|फनी वीडियो|family|jokes|परिवार|पारिवारिक|2021|Firecrackers|Fireworks|Sparklers|Pakau TV Channel,1933886,41878,5439,1173,https://i.ytimg.com/vi/08yg-ZUfG2w/default.jpg,False,False
