,index,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,120234,ed_U0IBKwZ8,Chaka Chak Dance Beats 🔥😂 ~ South Indian Version 🤟 #priyalkukreja #shorts #ytshorts,2022-04-30T07:30:04Z,UCzEAWIWMigRBbulQ6yVlilg,Priyal Kukreja,22,2022-05-01T00:00:00Z,Viral|Comedy|Funny|Tiktok|Trending|Instagram reels|Priyal kukreja|Dushyant kukreja|Priyal kukreja shorts|Dushyant priyal shorts|Shorts|Ytshorts|Whatsapp status|South indian dance version|Chaka chak dance beats|Chaka chak song|Siblings comedy|Brother sister comedy,6545616,287240,0,894,https://i.ytimg.com/vi/ed_U0IBKwZ8/default.jpg,False,False
1,120235,fzZXwpgrIKY,Bacche ne Gajab Ka dimag Lagaya 😂 #shorts #emotional #funny #funnyvideo #comedy,2022-05-01T04:26:47Z,UCBOIHREYqq_YWsl1a4Bh59Q,Pradeep life vlogs,24,2022-05-01T00:00:00Z,shorts|Short feed|funny|Funny short video|Funny video|Emotional funny video|comedy|Comedy shorts|comedy short video|funny story|short break|mujjuu___14|pradeeplifevlogs,2195114,115490,0,79,https://i.ytimg.com/vi/fzZXwpgrIKY/default.jpg,False,False
2,120236,px174GFDlN0,hum sab ek hai eid mubarak sabhi ko🙏🏻 #short #youtubeshorts #viral #emotional #eid #shorts,2022-04-29T09:41:46Z,UCHUu2HAnogpaK2UmTSJT8jg,mujjuu___14,22,2022-05-01T00:00:00Z,[None],8307044,719452,0,1522,https://i.ytimg.com/vi/px174GFDlN0/default.jpg,False,False
3,120237,3Jqout0AcWg,Is video ke liye ek like toh banta hai ❤️ #shorts,2022-04-30T17:15:13Z,UClO7QTL3RLMGW9Px4Q8znog,sagar kalra (Shorts),22,2022-05-01T00:00:00Z,[None],1843177,183962,0,140,https://i.ytimg.com/vi/3Jqout0AcWg/default.jpg,False,False
4,120238,68PmgvF0Z7k,Desi Boyfriend - || Elvish Yadav ||,2022-04-30T08:30:00Z,UCbmu9wfzxKls40WkCzvqtRA,Elvish yadav,23,2022-05-01T00:00:00Z,Desi Boyfriend Elvish Yadav|Desi vs city boyfriend elvish yadav|Desi boyfriend|City boyfriend|Desi vs city|Fight|Romance|Love|Chahat yadav|Elvish yadav|Elvish yadav desi boyfriend|Elvish yadav new video|Elvish yadav funny video|Comedy|Funny|Elvish yadav latest video,1892108,293691,0,20916,https://i.ytimg.com/vi/68PmgvF0Z7k/default.jpg,False,False
5,120239,hLUZnnNtjME,"30,000 में Pro Max iPhone ⚠️🤯🤯 3Tips #Shorts #ManojSaru",2022-04-29T15:35:41Z,UCrkP7L7oieiejXdQHWLqYIg,Manoj Saru,28,2022-05-01T00:00:00Z,iPhone|Apple|iPhone 13|iphone 14|iphone 15|#Shorts|#ManojSaru|Technology Gyan|India|nepal|Pakistan|Hindi|urdu|nepali|Tamil|Telgu|Music|Fun|Memes|Smartphone|mobile|iphone|How to|Music Video,2797201,381219,0,462,https://i.ytimg.com/vi/hLUZnnNtjME/default.jpg,False,False
6,120240,n4r3KwKIwF4,Chomtu ka paan !! #shorts #ashortaday #rajatp_here,2022-04-29T14:22:27Z,UCsVLjuLlsIsmIIQMW2s_zag,Rajat shorts !!,24,2022-05-01T00:00:00Z,[None],5520657,290666,0,329,https://i.ytimg.com/vi/n4r3KwKIwF4/default.jpg,False,False
7,120241,0uUDUco0X1k,Action Story Of Brother🥺🙏|| Bhai Bhai Ki kahani || Akshay Nagwadiya || #shorts #bhai #emotional,2022-04-30T14:30:00Z,UCz7PhJtc2G8Sre2vCLfmqAw,Akshay Nagwadiya,24,2022-05-01T00:00:00Z,[None],2638608,245658,0,9130,https://i.ytimg.com/vi/0uUDUco0X1k/default.jpg,False,False
8,120242,UJLKaKnZleU,வீடியோக்கு நடுவில் சமையல் 😂#princeashwin #shorts,2022-04-30T05:02:55Z,UC84tDeDbOFUeWnRK3wnKcjA,prince ashwin21,24,2022-05-01T00:00:00Z,[None],973013,30741,0,0,https://i.ytimg.com/vi/UJLKaKnZleU/default.jpg,True,False
9,120243,_HYse_HYnuk,MINGWEIROCKS - The FASTEST way to make COLA! #shorts,2022-04-29T08:09:23Z,UCeIuST7AITAf34FvWq4GHwg,mingweirocks,23,2022-05-01T00:00:00Z,shorts|funny|comedy|mingweirocks,6133950,291779,0,137,https://i.ytimg.com/vi/_HYse_HYnuk/default.jpg,False,False
10,120244,t-JUYAosEH4,Biggest Prank ✨ On Grand master Player 🥺#shorts,2022-04-30T13:00:16Z,UCM4GJm2A0-u8baQKlsJrITA,NITIN FREE FIRE,20,2022-05-01T00:00:00Z,[None],1674899,355296,0,1571,https://i.ytimg.com/vi/t-JUYAosEH4/default.jpg,False,False
11,120245,tohSh5lJ8R0,I made a poor barber into a millionaire,2022-04-30T08:21:51Z,UCWEqIFOOjmL_olrETpSnGOQ,Harsha Sai - For You Telugu,24,2022-05-01T00:00:00Z,#telugu #harshasai,1858667,312411,0,28495,https://i.ytimg.com/vi/tohSh5lJ8R0/default.jpg,False,False
12,120246,8dJyRm2jJ-U,PSY - 'That That (prod. & feat. SUGA of BTS)' MV,2022-04-29T09:00:10Z,UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,10,2022-05-01T00:00:00Z,PSY|싸이|psy|Psy|박재상|Comeback|coming back|9th|PSY 9th|Psy 9th|P NATION|p nation|피네이션|정규9집|컴백|싸다9|싸다구|PSY9th|구집|9wlq|9집|콘서트|싸이 콘서트|싸이콘서트|That That|that that|that|SUGA|BTS|produced|featuring|MV|music video|Music Video,42136397,4993344,0,303470,https://i.ytimg.com/vi/8dJyRm2jJ-U/default.jpg,False,False
